device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,date,production_output,start_counter_value,end_counter_value,window_first_reading,readings_count,reset_count,pre_reset_sum,reset_info
Machine2,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,"March 1, 2025",22352.96,16977999.96,17000352.92,16977999.96,1416,0,0,[]
Machine2,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,"March 2, 2025",16280.56,17000352.92,17016633.48,17000352.92,1415,0,0,[]
Machine2,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,"March 3, 2025",19541.16,17016633.48,17036174.64,17016633.48,1416,0,0,[]
Machine2,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,"March 4, 2025",18858.44,17036174.64,17055033.08,17036174.64,1414,0,0,[]
Machine2,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,"March 5, 2025",22789.52,17055033.08,17077822.6,17055043.96,1412,0,0,[]
Machine2,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,"March 6, 2025",9658.72,17077822.6,17087481.32,17077841.64,1413,0,0,[]
Machine2,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,"March 7, 2025",14101.84,17087481.32,17101583.16,17087481.32,1417,0,0,[]
Machine2,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,"March 8, 2025",14277.28,17101583.16,17115860.44,17101583.16,1414,0,0,[]
Machine2,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,"March 9, 2025",19867.56,17115860.44,17135728,17115893.08,1414,0,0,[]
Machine2,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,"March 10, 2025",21005.2,17135728,17156733.2,17135737.52,1415,0,0,[]
Machine2,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,"March 11, 2025",15361.88,17156733.2,17172095.08,17156762.44,1414,0,0,[]
Machine2,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,"March 12, 2025",26881.08,17172095.08,17198976.16,17172095.08,1415,0,0,[]
Machine2,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,"March 13, 2025",17792.88,17198976.16,17216769.04,17198976.16,1413,0,0,[]
