device_name,date,time_window,actual_start_time,actual_end_time,daily_consumption,adjusted_start_value,end_value,window_first_reading,readings_count
machine3,"March 1, 2025",2025-03-01 07:30:00 - 2025-03-02 07:30:00,2025-03-01 07:30,2025-03-02 07:29,1647,724660,726307,724660,1415
machine3,"March 2, 2025",2025-03-02 07:30:00 - 2025-03-03 07:30:00,2025-03-02 07:30,2025-03-03 07:28,1976,726307,728283,726308,1414
machine3,"March 3, 2025",2025-03-03 07:30:00 - 2025-03-04 07:30:00,2025-03-03 07:30,2025-03-04 07:29,1731,728283,730014,728284,1417
machine3,"March 4, 2025",2025-03-04 07:30:00 - 2025-03-05 07:30:00,2025-03-04 07:30,2025-03-05 07:29,1852,730014,731866,730015,1416
machine3,"March 5, 2025",2025-03-05 07:30:00 - 2025-03-06 07:30:00,2025-03-05 07:30,2025-03-06 07:29,1493,731866,733359,731867,1416
machine3,"March 6, 2025",2025-03-06 07:30:00 - 2025-03-07 07:30:00,2025-03-06 07:30,2025-03-07 07:29,1976,733359,735335,733360,1416
machine3,"March 7, 2025",2025-03-07 07:30:00 - 2025-03-08 07:30:00,2025-03-07 07:30,2025-03-08 07:29,1158,735335,736493,735336,1416
machine3,"March 8, 2025",2025-03-08 07:30:00 - 2025-03-09 07:30:00,2025-03-08 07:30,2025-03-09 07:29,1311,736493,737804,736493,1413
machine3,"March 9, 2025",2025-03-09 07:30:00 - 2025-03-10 07:30:00,2025-03-09 07:30,2025-03-10 07:29,1339,737804,739143,737804,1413
machine3,"March 10, 2025",2025-03-10 07:30:00 - 2025-03-11 07:30:00,2025-03-10 07:30,2025-03-11 07:29,1471,739143,740614,739144,1416
machine3,"March 11, 2025",2025-03-11 07:30:00 - 2025-03-12 07:30:00,2025-03-11 07:30,2025-03-12 07:29,1384,740614,741998,740615,1414
machine3,"March 12, 2025",2025-03-12 07:30:00 - 2025-03-13 07:30:00,2025-03-12 07:30,2025-03-13 07:29,1450,741998,743448,741999,1415
machine3,"March 13, 2025",2025-03-13 07:30:00 - 2025-03-14 07:30:00,2025-03-13 07:30,2025-03-14 07:29,1135,743448,744583,743449,1416
machine3,"March 14, 2025",2025-03-14 07:30:00 - 2025-03-15 07:30:00,2025-03-14 07:30,2025-03-15 07:29,1265,744583,745848,744584,1417
machine3,"March 15, 2025",2025-03-15 07:30:00 - 2025-03-16 07:30:00,2025-03-15 07:30,2025-03-16 07:29,988,745848,746836,745849,1416
machine3,"March 16, 2025",2025-03-16 07:30:00 - 2025-03-17 07:30:00,2025-03-16 07:30,2025-03-17 07:29,1486,746836,748322,746836,1416
machine3,"March 17, 2025",2025-03-17 07:30:00 - 2025-03-18 07:30:00,2025-03-17 07:30,2025-03-18 07:29,1676,748322,749998,748324,1416
machine3,"March 18, 2025",2025-03-18 07:30:00 - 2025-03-19 07:30:00,2025-03-18 07:30,2025-03-19 07:29,937,749998,750935,749999,1417
machine3,"March 19, 2025",2025-03-19 07:30:00 - 2025-03-20 07:30:00,2025-03-19 07:30,2025-03-20 07:29,1709,750935,752644,750936,1415
