device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,on_time_seconds,off_time_seconds,total_window_time_seconds,efficiency,has_gap_more_than_2_minutes
Machine1,2025-03-01 07:30,2025-03-02 07:30,2025-03-01 07:30,2025-03-02 07:29,72235,14084,86400,83.61,FALSE
Machine1,2025-03-02 07:30,2025-03-03 07:30,2025-03-02 07:30,2025-03-03 07:29,48618,37786,86400,56.27,FALSE
Machine1,2025-03-03 07:30,2025-03-04 07:30,2025-03-03 07:30,2025-03-04 07:29,76681,9701,86400,88.75,FALSE
Machine1,2025-03-04 07:30,2025-03-05 07:30,2025-03-04 07:30,2025-03-05 07:29,76319,10059,86400,88.33,FALSE
Machine1,2025-03-05 07:30,2025-03-06 07:30,2025-03-05 07:30,2025-03-06 07:29,77473,8969,86400,89.67,FALSE
Machine1,2025-03-06 07:30,2025-03-07 07:30,2025-03-06 07:30,2025-03-07 07:29,66315,20058,86400,76.75,FALSE
Machine1,2025-03-07 07:30,2025-03-08 07:30,2025-03-07 07:30,2025-03-08 07:29,69235,17205,86400,80.13,FALSE
Machine1,2025-03-08 07:30,2025-03-09 07:30,2025-03-08 07:30,2025-03-09 07:29,76503,9855,86400,88.55,FALSE
Machine1,2025-03-09 07:30,2025-03-10 07:30,2025-03-09 07:30,2025-03-10 07:29,74785,11604,86400,86.56,FALSE
Machine1,2025-03-10 07:30,2025-03-11 07:30,2025-03-10 07:30,2025-03-11 07:29,68930,17512,86400,79.78,FALSE
Machine1,2025-03-11 07:30,2025-03-12 07:30,2025-03-11 07:30,2025-03-12 07:29,71547,14817,86400,82.81,FALSE
Machine1,2025-03-12 07:30,2025-03-13 07:30,2025-03-12 07:30,2025-03-13 07:29,69859,16535,86400,80.86,FALSE
Machine1,2025-03-13 07:30,2025-03-14 07:30,2025-03-13 07:30,2025-03-14 07:29,77907,8535,86400,90.17,FALSE
Machine1,2025-03-14 07:30,2025-03-15 07:30,2025-03-14 07:30,2025-03-15 07:29,57405,28976,86400,66.44,FALSE
Machine1,2025-03-15 07:30,2025-03-16 07:30,2025-03-15 07:30,2025-03-16 07:29,72895,13483,86400,84.37,FALSE
Machine1,2025-03-16 07:30,2025-03-17 07:30,2025-03-16 07:30,2025-03-17 07:29,78369,8049,86400,90.7,FALSE
